Longitude,Latitude,Lote,Conjunto de datos,Producto,Id obj.,EC Sperficial(dS/m),EC SubSuperficial(dS/m),Elevation(m),(seco)Masa de rend.(tonne/ha),MO del suelo(%),pH del suelo((1))
-63.95639936,-31.31801192,1,nutrientes,NO Product,1,16.61,7.711,354.56,1.087,2.475,6.452
-63.95639945,-31.31794919,1,nutrientes,NO Product,2,16.65,7.702,354.56,1.094,2.464,6.442
-63.95639674,-31.31780520,1,nutrientes,NO Product,3,16.70,7.679,354.55,1.218,2.452,6.432
-63.95639993,-31.31747223,1,nutrientes,NO Product,4,16.72,7.645,354.54,1.302,2.441,6.422
-63.95639973,-31.31744523,1,nutrientes,NO Product,5,16.68,7.610,354.52,1.365,2.430,6.412
-63.95639673,-31.31711226,1,nutrientes,NO Product,6,16.57,7.595,354.51,1.373,2.420,6.404
-63.95639712,-31.31693227,1,nutrientes,NO Product,7,16.43,7.595,354.49,1.369,2.410,6.397
-63.95639750,-31.31675229,1,nutrientes,NO Product,8,16.31,7.619,354.47,1.383,2.402,6.392
-63.95639789,-31.31657230,1,nutrientes,NO Product,9,16.30,7.663,354.45,1.373,2.408,6.388
-63.95639828,-31.31639232,1,nutrientes,NO Product,10,16.40,7.733,354.44,1.354,2.386,6.394
-63.95639866,-31.31621233,1,nutrientes,NO Product,11,16.64,7.847,354.42,1.362,2.395,6.391
-63.95639905,-31.31603235,1,nutrientes,NO Product,12,17.03,8.033,354.40,1.454,2.391,6.395
-63.95639944,-31.31585236,1,nutrientes,NO Product,13,17.58,8.331,354.38,1.764,2.387,6.401
-63.95639982,-31.31567237,1,nutrientes,NO Product,14,18.26,8.746,354.36,2.116,2.383,6.407
-63.95640021,-31.31549239,1,nutrientes,NO Product,15,19.00,9.235,354.35,2.281,2.379,6.414
-63.95640048,-31.31531240,1,nutrientes,NO Product,16,19.65,9.691,354.35,2.264,2.373,6.421
-63.95639985,-31.31525841,1,nutrientes,NO Product,17,20.03,9.996,354.35,2.237,2.365,6.428
-63.95639501,-31.31511442,1,nutrientes,NO Product,18,20.01,10.04,354.36,2.213,2.355,6.435
-63.95640358,-31.31477245,1,nutrientes,NO Product,19,19.63,9.853,354.37,2.064,2.346,6.440
-63.95640468,-31.31470945,1,nutrientes,NO Product,20,19.01,9.489,354.39,1.961,2.329,6.447
-63.95639448,-31.31457239,1,nutrientes,NO Product,21,18.35,9.085,354.41,1.834,2.317,6.455
-63.95639835,-31.31423146,1,nutrientes,NO Product,22,17.77,8.704,354.44,1.757,2.294,6.462
-63.95639855,-31.31405250,1,nutrientes,NO Product,23,17.35,8.396,354.47,1.762,2.261,6.465
-63.95640317,-31.31392651,1,nutrientes,NO Product,24,17.06,8.158,354.50,1.516,2.239,6.470
-63.95640219,-31.31369253,1,nutrientes,NO Product,25,16.84,7.950,354.54,1.176,2.218,6.474
-63.95640761,-31.31352155,1,nutrientes,NO Product,26,16.65,7.772,354.57,1.076,2.198,6.477
-63.95640799,-31.31334156,1,nutrientes,NO Product,27,16.43,7.619,354.60,1.007,2.179,6.480
-63.95641186,-31.31316158,1,nutrientes,NO Product,28,16.15,7.497,354.63,1.061,2.155,6.489
-63.95641700,-31.31299059,1,nutrientes,NO Product,29,15.78,7.381,354.65,1.190,2.141,6.491
-63.95641736,-31.31281060,1,nutrientes,NO Product,30,15.30,7.247,354.67,1.258,2.130,6.493
-63.95641742,-31.31272061,1,nutrientes,NO Product,31,14.77,7.082,354.71,1.268,2.124,6.491
-63.95641109,-31.31251363,1,nutrientes,NO Product,32,14.21,6.890,354.75,1.223,2.118,6.496
-63.95641149,-31.31226165,1,nutrientes,NO Product,33,13.76,6.711,354.80,1.081,2.114,6.500
-63.95641123,-31.31220765,1,nutrientes,NO Product,34,13.44,6.581,354.86,0.845,2.114,6.505
-63.95640497,-31.31189268,1,nutrientes,NO Product,35,13.28,6.530,354.92,0.952,2.115,6.512
-63.95641128,-31.31172169,1,nutrientes,NO Product,36,13.49,6.652,354.95,0.970,2.120,6.518
-63.95641275,-31.31161370,1,nutrientes,NO Product,37,13.86,6.832,354.97,0.988,2.112,6.551
-63.95640918,-31.31148170,1,nutrientes,NO Product,38,14.44,7.087,354.96,0.943,2.122,6.555
-63.95639098,-31.31027927,1,nutrientes,NO Product,39,15.34,7.627,354.79,1.461,2.215,6.576
-63.95639077,-31.31025481,1,nutrientes,NO Product,40,15.81,7.908,354.75,1.423,2.229,6.580
-63.95638930,-31.31007888,1,nutrientes,NO Product,41,16.53,8.319,354.71,1.466,2.240,6.581
-63.95640773,-31.30865818,1,nutrientes,NO Product,42,15.93,7.761,354.48,1.009,2.238,6.530
-63.95641439,-31.30848195,1,nutrientes,NO Product,43,15.95,7.662,354.47,1.189,2.232,6.519
-63.95642389,-31.30831096,1,nutrientes,NO Product,44,16.19,7.678,354.48,1.428,2.226,6.509
-63.95642756,-31.30813998,1,nutrientes,NO Product,45,16.49,7.768,354.50,1.296,2.223,6.500
-63.95642692,-31.30797799,1,nutrientes,NO Product,46,16.76,7.919,354.52,1.167,2.222,6.493
-63.95642537,-31.30777101,1,nutrientes,NO Product,47,16.80,8.079,354.54,1.261,2.224,6.488
-63.95642700,-31.30760002,1,nutrientes,NO Product,48,16.64,8.220,354.56,1.405,2.229,6.485
-63.95642310,-31.30752803,1,nutrientes,NO Product,49,16.28,8.325,354.57,1.413,2.238,6.485
-63.95641096,-31.30735704,1,nutrientes,NO Product,50,15.84,8.385,354.58,1.613,2.249,6.486
-63.95640046,-31.30718501,1,nutrientes,NO Product,51,15.46,8.412,354.60,0.707,2.264,6.488
-63.95642669,-31.30579777,1,nutrientes,NO Product,52,15.15,7.730,354.33,1.115,2.435,6.540
-63.95642654,-31.30562018,1,nutrientes,NO Product,53,15.26,7.678,354.32,1.245,2.467,6.550
-63.95642645,-31.30544019,1,nutrientes,NO Product,54,15.46,7.625,354.31,1.302,2.499,6.560
-63.95642661,-31.30526021,1,nutrientes,NO Product,55,15.73,7.572,354.28,1.381,2.532,6.569
-63.95642535,-31.30507122,1,nutrientes,NO Product,56,15.98,7.548,354.25,1.476,2.565,6.576
-63.95642724,-31.30490024,1,nutrientes,NO Product,57,16.14,7.534,354.21,1.393,2.597,6.582
-63.95642594,-31.30473825,1,nutrientes,NO Product,58,16.18,7.523,354.17,1.387,2.630,6.586
-63.95642502,-31.30453127,1,nutrientes,NO Product,59,16.11,7.498,354.13,1.347,2.663,6.588
-63.95642502,-31.30437828,1,nutrientes,NO Product,60,16.00,7.467,354.08,1.330,2.695,6.588
-63.95642169,-31.30427929,1,nutrientes,NO Product,61,15.87,7.436,354.03,1.334,2.729,6.585
-63.95642777,-31.30400031,1,nutrientes,NO Product,62,15.74,7.409,353.99,1.401,2.761,6.573
-63.95642787,-31.30382032,1,nutrientes,NO Product,63,15.64,7.402,353.94,1.496,2.796,6.567
-63.95643027,-31.30364034,1,nutrientes,NO Product,64,15.60,7.419,353.89,1.584,2.839,6.567
-63.95643642,-31.30346035,1,nutrientes,NO Product,65,15.58,7.433,353.85,1.539,2.878,6.560
-63.95643600,-31.30328037,1,nutrientes,NO Product,66,15.58,7.403,353.80,1.471,2.917,6.553
-63.95643588,-31.30310038,1,nutrientes,NO Product,67,15.50,7.336,353.75,1.437,2.961,6.551
-63.95643606,-31.30292039,1,nutrientes,NO Product,68,15.42,7.244,353.69,1.413,3.002,6.547
-63.95643624,-31.30274041,1,nutrientes,NO Product,69,15.43,7.225,353.62,1.511,3.043,6.545
-63.95643642,-31.30256042,1,nutrientes,NO Product,70,15.72,7.363,353.55,1.615,3.070,6.541
-63.95643660,-31.30238944,1,nutrientes,NO Product,71,16.45,7.764,353.48,1.794,3.108,6.542
-63.95643678,-31.30220945,1,nutrientes,NO Product,72,17.64,8.473,353.41,1.934,3.150,6.541
-63.95643696,-31.30202947,1,nutrientes,NO Product,73,19.11,9.386,353.35,2.053,3.187,6.543
-63.95643713,-31.30184948,1,nutrientes,NO Product,74,20.65,10.41,353.29,2.083,3.223,6.546
-63.95643731,-31.30166949,1,nutrientes,NO Product,75,21.62,11.10,353.23,2.083,3.256,6.548
-63.95643749,-31.30148951,1,nutrientes,NO Product,76,21.97,11.40,353.18,2.091,3.288,6.550
-63.95643767,-31.30130952,1,nutrientes,NO Product,77,21.38,11.11,353.14,2.121,3.312,6.553
-63.95643785,-31.30112954,1,nutrientes,NO Product,78,20.32,10.44,353.10,2.276,3.334,6.553
-63.95643803,-31.30094955,1,nutrientes,NO Product,79,19.12,9.633,353.07,2.318,3.351,6.551
-63.95643821,-31.30076957,1,nutrientes,NO Product,80,18.13,8.915,353.04,2.279,3.362,6.549
-63.95643839,-31.30058958,1,nutrientes,NO Product,81,17.57,8.440,353.03,2.181,3.361,6.552
-63.95643856,-31.30040960,1,nutrientes,NO Product,82,17.30,8.171,353.02,2.136,3.359,6.541
-63.95643874,-31.30022961,1,nutrientes,NO Product,83,17.42,8.157,353.00,2.147,3.356,6.536
-63.95643892,-31.30004962,1,nutrientes,NO Product,84,17.68,8.305,353.00,2.192,3.348,6.533
-63.95643910,-31.29986964,1,nutrientes,NO Product,85,17.86,8.513,352.98,2.161,3.338,6.531
-63.95643920,-31.29968965,1,nutrientes,NO Product,86,17.94,8.702,352.97,2.008,3.324,6.532
-63.95643630,-31.29959066,1,nutrientes,NO Product,87,17.92,8.866,352.93,1.831,3.305,6.538
-63.95641894,-31.29943013,1,nutrientes,NO Product,88,18.04,9.162,352.91,1.583,3.283,6.550
-63.95641131,-31.29912068,1,nutrientes,NO Product,89,18.19,9.432,352.90,1.504,3.255,6.577
-63.95643350,-31.29899671,1,nutrientes,NO Product,90,18.33,9.588,352.91,1.522,3.223,6.603
-63.95640945,-31.29889772,1,nutrientes,NO Product,91,18.25,9.452,352.92,1.700,3.187,6.634
-63.95642737,-31.29860074,1,nutrientes,NO Product,92,17.98,9.132,352.94,1.877,3.149,6.668
-63.95643753,-31.29842975,1,nutrientes,NO Product,93,17.51,8.651,352.97,1.816,3.110,6.703
-63.95643428,-31.29824077,1,nutrientes,NO Product,94,17.04,8.220,352.99,1.712,3.072,6.736
-63.95643394,-31.29813278,1,nutrientes,NO Product,95,16.58,7.862,353.03,1.550,3.035,6.767
-63.95643413,-31.29788080,1,nutrientes,NO Product,96,16.23,7.683,353.08,1.374,2.999,6.795
-63.95643292,-31.29778181,1,nutrientes,NO Product,97,16.14,7.741,353.12,1.278,2.966,6.818
-63.95643405,-31.29752083,1,nutrientes,NO Product,98,16.15,7.913,353.17,1.151,2.963,6.854
-63.95643337,-31.29743983,1,nutrientes,NO Product,99,16.22,8.075,353.19,1.047,2.938,6.872
-63.95643310,-31.29724613,1,nutrientes,NO Product,100,16.26,8.196,353.21,0.878,2.915,6.886
-63.95623597,-31.31822095,1,nutrientes,NO Product,101,16.66,7.734,354.55,1.143,2.489,6.472
-63.95628908,-31.31809318,1,nutrientes,NO Product,102,16.57,7.694,354.56,1.164,2.475,6.455
-63.95628908,-31.31791320,1,nutrientes,NO Product,103,16.68,7.753,354.55,1.222,2.463,6.444
-63.95628908,-31.31773321,1,nutrientes,NO Product,104,16.74,7.682,354.54,1.379,2.451,6.433
-63.95628908,-31.31754422,1,nutrientes,NO Product,105,16.75,7.653,354.53,1.540,2.439,6.422
-63.95628908,-31.31737324,1,nutrientes,NO Product,106,16.74,7.583,354.52,1.572,2.427,6.410
-63.95628908,-31.31719325,1,nutrientes,NO Product,107,16.59,7.589,354.50,1.548,2.417,6.400
-63.95628908,-31.31701327,1,nutrientes,NO Product,108,16.43,7.589,354.49,1.608,2.407,6.391
-63.95628908,-31.31682428,1,nutrientes,NO Product,109,16.33,7.621,354.47,1.591,2.411,6.385
-63.95628908,-31.31665330,1,nutrientes,NO Product,110,16.26,7.663,354.45,1.583,2.402,6.383
-63.95628908,-31.31647331,1,nutrientes,NO Product,111,16.40,7.734,354.43,1.616,2.384,6.388
-63.95627855,-31.31629332,1,nutrientes,NO Product,112,16.69,7.847,354.42,1.585,2.391,6.387
-63.95628908,-31.31610434,1,nutrientes,NO Product,113,16.99,8.008,354.39,1.720,2.388,6.393
-63.95628908,-31.31593335,1,nutrientes,NO Product,114,17.53,8.292,354.38,2.058,2.386,6.400
-63.95628908,-31.31575337,1,nutrientes,NO Product,115,18.33,8.763,354.36,2.295,2.383,6.407
-63.95628908,-31.31557338,1,nutrientes,NO Product,116,19.07,9.276,354.35,2.450,2.381,6.415
-63.95628908,-31.31539340,1,nutrientes,NO Product,117,19.67,9.704,354.35,2.511,2.377,6.422
-63.95628908,-31.31520441,1,nutrientes,NO Product,118,20.21,10.07,354.35,2.326,2.371,6.430
-63.95627855,-31.31503343,1,nutrientes,NO Product,119,20.26,10.15,354.35,2.432,2.361,6.438
-63.95628908,-31.31484444,1,nutrientes,NO Product,120,19.62,9.877,354.36,2.451,2.351,6.444
-63.95628908,-31.31467345,1,nutrientes,NO Product,121,19.08,9.507,354.38,2.146,2.332,6.452
-63.95627855,-31.31449347,1,nutrientes,NO Product,122,18.18,9.007,354.41,1.897,2.316,6.460
-63.95628908,-31.31431348,1,nutrientes,NO Product,123,17.72,8.654,354.44,2.030,2.291,6.467
-63.95628908,-31.31412450,1,nutrientes,NO Product,124,17.28,8.388,354.47,1.891,2.258,6.470
-63.95628908,-31.31395351,1,nutrientes,NO Product,125,17.07,8.177,354.50,1.649,2.234,6.475
-63.95628908,-31.31377353,1,nutrientes,NO Product,126,16.83,7.923,354.53,1.408,2.211,6.479
-63.95628908,-31.31359354,1,nutrientes,NO Product,127,16.58,7.752,354.57,1.195,2.189,6.482
-63.95628908,-31.31341356,1,nutrientes,NO Product,128,16.53,7.605,354.60,1.194,2.168,6.484
-63.95628908,-31.31322457,1,nutrientes,NO Product,129,16.18,7.495,354.63,1.197,2.143,6.491
-63.95628908,-31.31305358,1,nutrientes,NO Product,130,15.79,7.373,354.64,1.262,2.128,6.492
-63.95627855,-31.31287360,1,nutrientes,NO Product,131,15.35,7.273,354.66,1.370,2.116,6.493
-63.95628908,-31.31268461,1,nutrientes,NO Product,132,14.77,7.089,354.70,1.315,2.109,6.492
-63.95628908,-31.31251363,1,nutrientes,NO Product,133,14.16,6.888,354.75,1.238,2.102,6.496
-63.95627855,-31.31233364,1,nutrientes,NO Product,134,13.73,6.708,354.80,1.095,2.099,6.501
-63.95628908,-31.31215366,1,nutrientes,NO Product,135,13.47,6.585,354.85,1.034,2.098,6.506
-63.95630761,-31.31195567,1,nutrientes,NO Product,136,13.24,6.495,354.92,0.820,2.101,6.513
-63.95629962,-31.31178469,1,nutrientes,NO Product,137,13.46,6.651,354.95,0.966,2.105,6.520
